title,description,category,priority
Electrical infrastructure issue,There is a problem with the classroom facilities. The issue is at Hostel C.,Infrastructure,Medium
Lab safety issue,Some required laboratory equipment is missing. This has been causing inconvenience at Sports Complex.,Laboratory,High
Library computer issue,A library facility requires maintenance. The issue is at Main Gate.,Library,Medium
Electrical infrastructure issue,The campus infrastructure needs attention. The issue is at Academic Block.,Infrastructure,Medium
Broken light,A campus facility is damaged and needs repair. I noticed this problem at Main Building.,Maintenance,Medium
Result not updated,I am facing a problem while registering for my course. The issue is at Academic Block.,Academic,Low
Bus overcrowding,The college bus service is facing a problem.,Transport,Medium
Bathroom issue,There is an electricity problem in the hostel. Students at Sports Complex are affected.,Hostel,Medium
Electrical infrastructure issue,Several chairs and desks are damaged.,Infrastructure,Medium
Damaged facility,The lights in the room are not working.,Maintenance,Low
Missing bus service,There is an issue with the current bus route. The issue is at Sports Complex.,Transport,Low
Campus WiFi issue,Campus WiFi keeps disconnecting.,IT / Wi-Fi,High
Hostel cleanliness problem,A basic hostel facility is not working properly.,Hostel,High
Faculty related issue,The examination schedule has not been updated properly. This has been causing inconvenience at Campus.,Academic,High
Faculty related issue,My semester result is still not showing. This has been causing inconvenience at Hostel A.,Academic,Medium
Assignment submission issue,My attendance is incorrect in the academic record. This has been causing inconvenience at Hostel A.,Academic,Medium
Hostel room issue,Water supply has been irregular in the hostel. The issue is at Computer Lab.,Hostel,Medium
Broken fan,The ceiling fan is not working. This has been causing inconvenience at Main Gate.,Maintenance,Medium
Damaged facility,A maintenance request has been pending. The issue is at Laboratory Block.,Maintenance,Medium
Library computer issue,The library timing is causing difficulty for students. This has been causing inconvenience at Campus.,Library,Medium
WiFi not working,WiFi is not working in my hostel. This has been causing inconvenience at Main Building.,IT / Wi-Fi,High
Broken light,The lights in the room are not working. I noticed this problem at Computer Lab.,Maintenance,Medium
Lab safety issue,A computer in the laboratory is not functioning. This has been causing inconvenience at Hostel A.,Laboratory,Low
Student portal not working,The internet connection is unavailable.,IT / Wi-Fi,High
Faculty related issue,My marks have not been updated on the student portal. The issue is at Academic Block.,Academic,High
Transport timing problem,The transport timing is inconvenient. Students at Hostel A are affected.,Transport,Medium
Login portal issue,I cannot log in to the student portal. I noticed this problem at Academic Block.,IT / Wi-Fi,Medium
Internet speed problem,I am facing a network connectivity problem. The issue is at Main Building.,IT / Wi-Fi,Medium
Damaged facility,There is water leakage that requires immediate repair. This has been causing inconvenience at Library.,Maintenance,Medium
Maintenance request,The ceiling fan is not working. This has been causing inconvenience at Main Building.,Maintenance,Medium
Transport timing problem,The transport timing is inconvenient. Students at Main Building are affected.,Transport,High
Internal marks issue,My internal assessment marks appear to be incorrect.,Academic,Medium
Broken light,There is a plumbing problem that needs attention. I noticed this problem at Academic Block.,Maintenance,Low
Missing bus service,There is an issue with the current bus route. Students at Campus are affected.,Transport,Low
Lab workstation problem,The equipment required for the practical is not working. Students at Hostel B are affected.,Laboratory,Medium
Transport timing problem,The scheduled bus service did not arrive. The issue is at Main Building.,Transport,Medium
Internet connectivity problem,The computer network is not accessible.,IT / Wi-Fi,Medium
Broken light,The area requires proper cleaning. This has been causing inconvenience at Main Building.,Maintenance,High
Library seat problem,There are not enough seats available in the library.,Library,High
Bus route problem,The college bus requires maintenance. Students at Library are affected.,Transport,Medium
Library facility problem,The required book is not available in the library. Students at Sports Complex are affected.,Library,Medium
Result not updated,My internal assessment marks appear to be incorrect. Students at Main Building are affected.,Academic,Medium
Book return issue,A library facility requires maintenance. Students at Sports Complex are affected.,Library,High
Library seat problem,The required reference book is unavailable. This has been causing inconvenience at Main Gate.,Library,High
College bus issue,The scheduled bus service did not arrive. Students at Hostel C are affected.,Transport,High
Classroom infrastructure issue,The classroom infrastructure needs maintenance. The issue is at Hostel B.,Infrastructure,Low
Broken fan,The lights in the room are not working. Students at Hostel B are affected.,Maintenance,Low
Computer network issue,I cannot log in to the student portal.,IT / Wi-Fi,High
Bus delay,The college bus arrived late today.,Transport,High
Marks not updated,My semester result is still not showing. I noticed this problem at Campus.,Academic,Low
Broken fan,An electrical repair is required.,Maintenance,Medium
Student portal not working,I am facing a network connectivity problem. I noticed this problem at Library.,IT / Wi-Fi,High
Hostel electricity problem,My hostel room requires maintenance.,Hostel,Medium
Network connection problem,The internet connection is unavailable. The issue is at Main Gate.,IT / Wi-Fi,High
Room maintenance issue,My hostel room requires maintenance.,Hostel,High
Marks not updated,The examination schedule has not been updated properly. This has been causing inconvenience at Hostel B.,Academic,High
Library computer issue,The required book is not available in the library. Students at Academic Block are affected.,Library,High
Lab equipment problem,A computer in the laboratory is not functioning. I noticed this problem at Main Gate.,Laboratory,Low
Campus infrastructure problem,The classroom infrastructure needs maintenance.,Infrastructure,Medium
Electrical repair required,There is a plumbing problem that needs attention.,Maintenance,Medium
Cleaning required,A maintenance request has been pending. The issue is at Hostel C.,Maintenance,Medium
Attendance issue,My internal assessment marks appear to be incorrect. The issue is at Academic Block.,Academic,Medium
Cleaning required,There is water leakage that requires immediate repair. I noticed this problem at Main Gate.,Maintenance,High
